0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2025,15,1070,1160,1055,1135,+60,+5.58,9.77,657,43.8,"7,268",485,+5.01,+0.57,+5.4,+11,73.6,-2.97,23.2,-0.23,0.21,0.9
2024,242,590,1100,574,1075,+482,+81.3,88.7,"10,717",44.3,"95,047",393,+170,+41.4,+18.4,+229,73.6,+13.1,26.2,+0.25,0.44,1.67
2023,239,446,594,443,593,+144.5,+32.2,33.7,"6,581",27.5,"35,803",150,+532,-1.68,+33.5,+564,73,-14.3,13.1,-0.88,0.19,1.45
2022,246,619,688,370,448.5,-166.5,-27.1,51.7,"9,440",38.4,"48,914",199,"-1,007",+65.9,+42.3,-899,70.9,+2.32,27.5,+0.91,1.07,3.88
2021,244,530,679,518,615,+85,+16,30.4,"9,120",37.4,"54,708",224,-385,+26,+27.5,-331,75.1,+2.5,25.2,-0.43,0.16,0.63
2020,245,332.5,530,235.5,530,+199,+60.1,89,"12,153",49.6,"45,006",184,-444,+5.47,-52.5,-491,76.5,+5,22.9,+0.26,0.59,2.58
2019,242,226.5,345,206.5,331,+105.5,+46.8,61.4,"7,979",33,"20,849",86.2,+272,+13.7,+27,+313,78.4,+5.38,18,-2.85,0.33,1.81
2018,247,231.5,268,210,225.5,-4,-1.74,25.3,"8,623",34.9,"20,480",82.9,-395,-1.39,-5.3,-402,77.2,+2.71,12.6,+1.17,3.18,25.2
2017,246,181.5,245,179,229.5,+48,+26.4,36.4,"6,711",27.3,"13,968",56.8,+13.5,-19.9,-21.2,-27.6,78.9,-4.08,9.89,-3.11,2,20.2
2016,244,142.5,193,130.5,181.5,+38.5,+26.9,43.7,"8,007",32.8,"13,087",53.6,+305,-16.6,+21.3,+310,78.7,+0.9,14,-1.66,5.11,36.6
2015,244,140.5,155,112.5,143,+2,+1.42,30.1,"9,781",40.1,"13,657",56,+16.2,-9.79,-0.89,+5.47,77.2,-7.01,13.1,+1.72,6.78,51.8
2014,248,105,142,100.5,141,+35.5,+33.6,39.3,"9,055",36.5,"11,030",44.5,+103,+10.7,-13.9,+100,77.3,-0.42,20.1,+1.74,5.06,25.2
2013,246,97.6,116.5,92.9,105.5,+8.5,+8.76,24.3,"8,572",34.8,"8,879",36.1,-260,-59.2,-19.5,-339,76.7,+5.29,20.5,-4.02,3.32,16.2
2012,250,75,99.4,73.8,97,+21.2,+28,33.8,"10,107",40.4,"8,441",33.8,+729,-25.4,-9.91,+693,77.8,+4.4,15.2,-0.36,7.33,48.2
2011,247,71.5,78.3,62.2,75.8,+4.8,+6.76,22.7,"12,741",51.6,"9,164",37.1,+474,+65.4,+133,+672,74.9,-35.9,10.8,+1.32,7.72,71.7
2010,251,65,75,57,71,+6.5,+10.1,27.9,"12,071",48.1,"7,506",29.9,-234,-10.2,+12,-232,73.3,+14.1,46.8,-0.44,6.41,13.7
2009,251,46,65.2,38.7,64.5,+20.1,+45.3,59.7,"16,383",65.3,"9,021",35.9,+661,-67,-31.5,+562,73.9,+7.09,32.9,-7.1,6.86,20.9
2008,249,62,69.8,36.4,44.4,-17.6,-28.4,53.9,"16,303",65.5,"9,218",37,+300,+108,+109,+516,71.7,-20.3,25.9,+11,14,53.9
2007,247,67.8,73.1,57.4,62,-5.5,-8.15,23.3,"15,498",62.7,"10,102",40.9,-542,+37.3,-28.3,-533,71.8,+25.1,48.8,-9.68,2.08,4.25
2006,248,61.8,70,52.3,67.5,+5,+8,28.3,"10,344",41.7,"6,354",25.6,+667,-63.9,-8.54,+595,75.2,-0.58,23.8,-2.92,11.8,49.4
2005,247,51,64.3,46.2,62.5,+12,+23.8,35.8,"12,783",51.8,"7,077",28.7,"+3,789",-64.9,-32.1,"+3,692",75.9,-41.9,24.6,-15.6,14.8,60
2004,250,63.5,68.5,40.7,50.5,-13,-20.5,43.8,"12,664",50.7,"6,607",26.4,+470,+8.27,-19.2,+459,58,-15.7,67.2,+24.7,30.6,45.5
2003,249,43,72.5,40.1,63.5,+20.9,+49.1,76.1,"11,186",44.9,"6,204",24.9,"+1,073",+45.5,+14.5,"+1,133",54.4,-73.4,83.2,-4.59,6.04,7.27
2002,248,87.5,97.5,34.9,42.6,-44.9,-51.3,71.5,"12,068",48.7,"7,700",31,-962,-11,-22.5,-996,48.6,+66,157,-3.48,11,7.01
2001,244,78,105.5,43.6,87.5,+9,+11.5,78.9,"8,960",36.7,"6,844",28.1,"+1,178",+16,+24.7,"+1,219",30.7,+3.43,94.4,+3.08,15.3,16.2
2000,271,178,222,74.5,78.5,-88.5,-53,88.3,"7,729",28.5,"11,065",40.8,+295,-5.03,-2.22,+288,25.1,-79.7,90.4,+13.8,10.1,11.2
1999,266,71,171,68,167,+96,+135,145,"9,697",36.5,"11,495",43.2,,,,,,,,,,
1998,271,113.5,173,56.5,71,-41,-36.6,104,"8,613",31.8,"9,385",34.6,,,,,,,,,,
1997,286,56,173,55.5,112,+55.5,+98.2,208,"13,690",47.9,"16,436",57.5,,,,,,,,,,
1996,287,86,106,49.1,56.5,-28.5,-33.5,66.9,"2,549",8.88,"1,622",5.65,,,,,,,,,,
1995,286,157,196,77,85,-72,-45.9,75.8,"1,197",4.18,"1,471",5.14,,,,,,,,,,
1994,93,96,177,96,157,+61,+63.5,84.4,261,2.8,431,4.63,,,,,,,,,,
