0,1,2,3,4,5,6,7,8,9,10,11
2025,1135,+60,+5.58%,40.01,28.37,600.2,696.2,792.2,888.2,984.2,1080
2024,1075,+482,+81.3%,40.01,26.87,600.2,696.2,792.2,888.2,984.2,1080
2023,593,+144.5,+32.2%,32.34,18.34,485.1,562.7,640.3,717.9,795.6,873.2
2022,448.5,-166.5,-27.1%,39.2,11.44,588,682.1,776.2,870.2,964.3,1058
2021,615,+85,+16%,23.01,26.73,345.2,400.4,455.6,510.8,566,621.3
2020,530,+199,+60.1%,19.97,26.54,299.5,347.5,395.4,443.3,491.3,539.2
2019,331,+105.5,+46.8%,13.32,24.85,199.8,231.8,263.7,295.7,327.7,359.6
2018,225.5,-4,-1.74%,13.54,16.65,203.1,235.6,268.1,300.6,333.1,365.6
2017,229.5,+48,+26.4%,13.23,17.35,198.5,230.2,262,293.7,325.5,357.2
2016,181.5,+38.5,+26.9%,12.89,14.08,193.4,224.3,255.2,286.2,317.1,348
2015,143,+2,+1.42%,11.82,12.1,177.3,205.7,234,262.4,290.8,319.1
2014,141,+35.5,+33.6%,10.18,13.85,152.7,177.1,201.6,226,250.4,274.9
2013,105.5,+8.5,+8.76%,7.26,14.53,108.9,126.3,143.7,161.2,178.6,196
2012,97,+21.2,+28%,6.42,15.11,96.3,111.7,127.1,142.5,157.9,173.3
2011,75.8,+4.8,+6.76%,5.18,14.63,77.7,90.13,102.6,115,127.4,139.9
2010,71,+6.5,+10.1%,6.24,11.38,93.6,108.6,123.6,138.5,153.5,168.5
2009,64.5,+20.1,+45.3%,3.45,18.7,51.75,60.03,68.31,76.59,84.87,93.15
2008,44.4,-17.6,-28.4%,3.86,11.5,57.9,67.16,76.43,85.69,94.96,104.2
2007,62,-5.5,-8.15%,4.14,14.98,62.1,72.04,81.97,91.91,101.8,111.8
2006,67.5,+5,+8%,4.93,13.69,73.95,85.78,97.61,109.4,121.3,133.1
2005,62.5,+12,+23.8%,3.79,16.49,56.85,65.95,75.04,84.14,93.23,102.3
2004,50.5,-13,-20.5%,3.97,12.72,59.55,69.08,78.61,88.13,97.66,107.2
2003,63.5,+20.9,+49.1%,2.33,27.25,34.95,40.54,46.13,51.73,57.32,62.91
2002,42.6,-44.9,-51.3%,1.14,37.37,17.1,19.84,22.57,25.31,28.04,30.78
2001,87.5,+9,+11.5%,0.83,105.4,12.45,14.44,16.43,18.43,20.42,22.41
2000,78.5,-88.5,-53%,5.71,13.75,85.65,99.35,113.1,126.8,140.5,154.2
1999,167,+96,+135%,3.24,51.54,48.6,56.38,64.15,71.93,79.7,87.48
1998,71,-41,-36.6%,2.54,27.95,38.1,44.2,50.29,56.39,62.48,68.58
1997,112,+55.5,+98.2%,4.4,25.45,66,76.56,87.12,97.68,108.2,118.8
1996,56.5,-28.5,-33.5%,7.31,7.73,109.6,127.2,144.7,162.3,179.8,197.4
1995,85,-72,-45.9%,10.48,8.11,157.2,182.4,207.5,232.7,257.8,283
1994,157,+61,+63.5%,10.86,14.46,162.9,189,215,241.1,267.2,293.2
